Name,Survived
"Danbom, Mrs. Anna Sigrid Maria",0
"Danoff, Mr. Yoto",0
"Dashwood, Mr. William George",0
"Davidson, Mr. Thornton",0
"Davies, Mr. Alfred J.",0
"Davies, Mr. Charles Henry",0
"Davies, Mr. Evan",0
"Davies, Mr. Gordon Raleigh",0
"Davies, Mr. John Samuel",0
"Davies, Mr. Joseph",0
"Davies, Mr. Robert J.",0
"Davies, Mr. Thomas",0
"Davis, Mr. John",0
"Davis, Mr. Stephen James",0
"Davison, Mr. Thomas Henry",0
"Dawson, Mr. Joseph",0
"De marsico, Sig.. Govanni",0
"De pelsmaeker, Mr. Alfons",0
"Deacon, Mr. Percy William",0
"Dean, Mr. Bertram Frank",0
"Dean, Mr. George H.",0
"Debreucq, Mr. Maurice Emile Victor",0
"Deeble, Mr. Alfred Arnold",0
"Del carlo, Mr. Sebastiano",0
"Delalic, Mr. Redjo",0
"Denbuoy, Mr. Albert (""Herbert"")",0
"Denkoff, Mr. Mitto",0
"Dennis, Mr. Samuel",0
"Dennis, Mr. William",0
"Derrett, Mr. Arthur Henry",0
"Deslandes, Mr. Percival Stainer",0
"Desvernine, Mr. Louis Gabriel",0
"Dibden, Mr. William",0
"Dickson, Mr. William",0
"Dika, Mr. Mirko",0
"Dimic, Mr. Jovan",0
"Dinenage, Mr. James Richard",0
"Dintcheff, Mr. Valtcho",0
"Dodd, Mr. Edward Charles",0
"Dodd, Mr. George Charles",0
"Dodds, Mr. Henry Watson",0
"Dolby, Mr. Joseph",0
"Donati, Sig.. Italo Francesco",0
"Donoghue, Mr. Frank (?Thomas)",0
"Donohoe, Miss. Bridget",0
"Dooley, Mr. Patrick",0
"Dornier, Mr. Louis Auguste",0
"Dougherty, Mr. William John",0
"Doughty, Mr. Walter Thomas",0
"Douglas, Mr. Walter Donald",0
"Douton, Mr. William Joseph",0
"Doyle, Miss. Elizabeth",0
"Doyle, Mr. Laurence",0
"Drazenovic, Mr. Jozef",0
"Drew, Mr. James Vivian",0
"Duffy, Mr. William Luke",0
"Dulles, Mr. William Crothers",0
"Dunford, Mr. William",0
"Durnil, Mr. James",0
"Dwan, Mr. Frank",0
"Dyer, Mr. Henry Ryland",0
"Dyer, Mr. William Henry",0
"Dyker, Mr. Adolf Fredrik",0
"Eagle, Mr. Alfred James",0
"Eastman, Mr. Charles",0
"Edbrooke, Mr. Francis Samuel Jacob",0
"Ede, Mr. George Bulkeley",0
"Edge, Mr. Frederick William",0
"Edvardsson, Mr. Gustaf Hjalmar",0
"Edwards, Mr. Charles Essex",0
"Egg, Mr. William Henry",0
"Eitemiller, Mr. George Floyd",0
"Eklund, Mr. Hans Linus",0
"Ekström, Mr. Johan",0
"Elias nasrallah, Mr. Tannous",0
"Elias, Mr. Dibo",0
"Elias, Mr. Joseph jr.",0
"Elliott, Mr. Everett Edward",0
"Elsbury, Mr. William James",0
"Enander, Mr. Ingvar",0
"Ennis, Mr. Walter",0
"Ervine, Mr. Albert George",0
"Estanislau, Mr. Manuel Gonçalves",0
"Evans, Miss. Edith Corse",0
"Evans, Mr. George Richard",0
"Evans, Mr. William Thomas",0
"Everett, Mr. Thomas James",0
"Fahlstrøm, Mr. Arne Joma",0
"Fairall, Mr. Henry Charles",0
"Farenden, Mr. Ernest John",0
"Farquharson, Mr. William Edward",0
"Farrell, Mr. James ""Jim""",0
"Farthing, Mr. John",0
"Faunthorpe, Mr. Harry Bartram",0
"Fay, Mr. Thomas Joseph",0
"Fellowes, Mr. Alfred James",0
"Feltham, Mr. George William",0
"Ferrary, Mr. Antonio",0
"Ferris, Mr. W.",0
"Fey, Sig.. Carlo",0
"Fillbrook, Mr. Joseph Charles",0
"Finch, Mr. Harry",0
"Fioravante, Sig.. Giuseppe Bertoldo",0
"Fischer, Mr. Eberhard Thelander",0
"Fitzpatrick, Mr. Hugh Joseph",0
"Fleming, Miss. Honora",0
"Fletcher, Mr. Percy William",0
"Flynn, Mr. James",0
"Flynn, Mr. John",0
"Foley, Mr. Joseph",0
"Foley, Mr. William",0
"Ford, Miss. Dollina Margaret",0
"Ford, Miss. Robina Maggie",0
"Ford, Mr. Arthur",0
"Ford, Mr. Edward Watson",0
"Ford, Mr. Ernest",0
"Ford, Mr. Francis",0
"Ford, Mr. H.",0
"Ford, Mr. Thomas",0
"Ford, Mr. William Neal Thomas",0
"Ford, Mrs. Margaret Ann Watson",0
"Foreman, Mr. Benjamin Laventall",0
"Fortune, Mr. Charles Alexander",0
"Fortune, Mr. Mark",0
"Foster, Mr. Albert C.",0
"Fox, Mr. Patrick",0
"Fox, Mr. Stanley Hubert",0
"Fox, Mr. William Thomas",0
"Franklin, Mr. Alan Vincent",0
"Franklin, Mr. Charles (""Charles Fardon"")",0
"Franklin, Mr. Thomas Parnham",0
"Fraser, Mr. J.",0
"Fraser, Mr. James",0
"Freeman, Mr. Ernest Edward Samuel",0
"Frost, Mr. Anthony Wood",0
"Fry, Mr. John Richard",0
"Funk, Miss. Annie Clemmer",0
"Futrelle, Mr. Jacques Heath",0
"Fynney, Mr. Joseph J.",0
"Gale, Mr. Harry",0
"Gale, Mr. Shadrach",0
"Gallagher, Mr. Martin",0
"Garfirth, Mr. John",0
"Gaskell, Mr. Alfred",0
"Gatti, Sig.. Gaspare Antonio Pietro",0
"Gavey, Mr. Laurence",0
"Geddes, Mr. Richard Charles",0
"Gee, Mr. Arthur H.",0
"Geer, Mr. Alfred Emest",0
"Gerios thamah, Mr. Assaf",0
"Gheorgheff, Mr. Stanio",0
"Giglio, Mr. Victor Gaitan Andrea",0
"Gilardino, Sig.. Vincenzo Pio",0
"Gilbert, Mr. William",0
"Giles, Mr. Edgar",0
"Giles, Mr. Frederick Edward",0
"Giles, Mr. John Robert",0
"Giles, Mr. Ralph",0
"Gilinski, Mr. Eliezer",0
"Gill, Mr. John William",0
"Gill, Mr. Joseph Stanley",0
"Gill, Mr. Patrick",0
"Gillespie, Mr. William Henry",0
"Givard, Mr. Hans Kristensen",0
"Godwin, Mr. Frederick Charles",0
"Golder, Mr. M. W.",0
"Goldschmidt, Mr. George B.",0
"Goldsmith, Mr. Frank John",0
"Goldsmith, Mr. Nathan",0
"Gollop, Mr. F.",0
"Goodwin, Master. Harold Victor",0
"Goodwin, Master. Sidney Leslie",0
"Goodwin, Master. William Frederick",0
"Goodwin, Miss. Jessie Allis",0
"Goodwin, Miss. Lillian Amy",0
"Goodwin, Mr. Charles Edward",0
"Goodwin, Mr. Frederick Joseph",0
"Goodwin, Mrs. Augusta",0
"Gordon, Mr. J.",0
"Goree, Mr. Frank",0
"Goshawk, Mr. Alfred James",0
"Gosling, Mr. Bertram James",0
"Gosling, Mr. S.",0
"Gradidge, Mr. Ernest Edward",0
"Graham, Mr. George Edward",0
"Green, Mr. George",0
"Green, Mr. George",0
"Greenberg, Mr. Samuel",0
"Gregory, Mr. David",0
"Grosclaude, Mr. Gérald",0
"Grønnestad, Mr. Daniel Danielsen",0
"Guest, Mr. Robert",0
"Guggenheim, Mr. Benjamin",0
"Gumery, Mr. George",0
"Gunn, Mr. Joseph Alfred",0
"Gustafsson, Mr. Alfred Ossian",0
"Gustafsson, Mr. Anders Vilhelm",0
"Gustafsson, Mr. Johan Birger",0
"Gustafsson, Mr. Karl Gideon",0
"Gwynn, Mr. William Logan",0
"Haas, Miss. Aloisia",0
"Hagland, Mr. Ingvald Olai Olsen",0
"Hagland, Mr. Konrad Mathias Reiersen",0
"Hakkarainen, Mr. Pekka Pietari",0
"Hale, Mr. Reginald",0
"Hall, Mr. F. A. J.",0
"Hall, Mr. J.",0
"Hallett, Mr. George Alexander",0
"Hamblyn, Mr. Ernest William",0
"Hamilton, Mr. Ernest",0
"Hampe, Mr. Léon Jérome",0
"Hands, Mr. Bernard",0
"Hanna, Mr. Boulos",0
"Hanna, Mr. Mansour",0
"Hannam, Mr. George",0
"Hansen, Mr. Claus Peter",0
"Hansen, Mr. Henrik Juul",0
"Hansen, Mr. Henry Damsgaard",0
"Harbeck, Mr. William H.",0
"Harding, Mr. Alfred John",0
"Hargadon, Miss. Catherine ""Kate""",0
"Harknett, Miss. Alice Phoebe",0
"Harper, Rev.. John",0
"Harrington, Mr. Charles Henry",0
"Harris, Mr. Amos",0
"Harris, Mr. Charles William",0
"Harris, Mr. Clifford Henry",0
"Harris, Mr. Edward John",0
"Harris, Mr. Edward Matthew",0
"Harris, Mr. Henry Birkhardt",0
"Harris, Mr. Walter",0
"Harrison, Mr. Norman E.",0
"Harrison, Mr. William Henry",0
"Hart, Mr. Benjamin",0
"Hart, Mr. Henry",0
"Hart, Mr. James",0
"Hartley, Mr. Wallace Henry",0
"Harvey, Mr. Herbert Gifford",0
"Haslin, Mr. James",0
"Hassan abilmona, Mr. Houssein Mohamed",0
"Hatch, Mr. Hugh",0
"Hawkesworth, Mr. James",0
"Hawkesworth, Mr. William Walter",0
"Hays, Mr. Charles Melville",0
"Hayter, Mr. Arthur",0
"Head, Mr. Alfred",0
"Head, Mr. Christopher",0
"Hegarty, Miss. Hanora ""Nora""",0
"Heinen, Mr. Joseph Dominichus",0
"Heininen, Miss. Wendla Maria",0
"Hendekovic, Mr. Ignjac",0
"Hendy, Mr. Edward Martin",0
"Henriksson, Miss. Jenny Lovisa",0
"Henry, Miss. Bridget Delia",0
"Hensford, Mr. Herbert George Ernest",0
"Herman, Mr. Samuel",0
"Hesketh, Mr. John Henry",0
"Hewitt, Mr. Thomas",0
"Hickman, Mr. Leonard Mark",0
"Hickman, Mr. Lewis",0
"Hickman, Mr. Stanley George",0
"Hill, Mr. H. P.",0
"Hill, Mr. James",0
"Hill, Mr. James Colston",0
"Hilliard, Mr. Herbert Henry",0
"Hiltunen, Miss. Marta",0
"Hinckley, Mr. George Herbert",0
"Hine, Mr. William Edward",0
"Hinton, Mr. Stephen William",0
"Hipkins, Mr. William Edward",0
"Hiscock, Mr. Sydney George",0
"Hoare, Mr. Leonard James",0
"Hocking, Mr. Richard George",0
"Hocking, Mr. Samuel James Metcalfe",0
"Hodge, Mr. Charley",0
"Hodges, Mr. Henry Price",0
"Hodges, Mr. W.",0
"Hodgkinson, Mr. Leonard",0
"Hogg, Mr. Charles William",0
"Hogue, Mr. E.",0
"Hold, Mr. Stephen",0
"Holland, Mr. Thomas",0
"Holloway, Mr. Sidney",0
"Holm, Mr. John Fredrik Alexander",0
"Holman, Mr. Harry",0
"Holthen, Mr. Johan Martin",0
"Holverson, Mr. Alexander Oskar",0
"Hood, Mr. Ambrose Jr",0
"Hopgood, Mr. Roland John C.",0
"Hopkins, Mr. Frederick William",0
"Horgan, Mr. John",0
"Hosgood, Mr. Richard William",0
"Hosking, Mr. George Fox",0
"House, Mr. William John",0
"Howard, Mr. Benjamin",0
"Howard, Mrs. Ellen Truelove",0
"Howell, Mr. Arthur Albert",0
"Hoyt, Mr. William Fisher",0
"Hughes, Mr. William Thomas",0
"Humblen, Mr. Adolf Mathias Nicolai Olsen",0
"Humby, Mr. Frederick Charles",0
"Hume, Mr. John Law",0
"Humphreys, Mr. Humphrey",0
"Hunt, Mr. George Henry",0
"Hunt, Mr. Tom",0
"Hurst, Mr. Charles John",0
"Hutchinson, Mr. James",0
"Hutchinson, Mr. John Hall",0
"Ibrahim shawah, Mr. Yousseff",0
"Ide, Mr. Harry John",0
"Ilieff, Mr. Ylio",0
"Ilmakangas, Miss. Ida Livija",0
"Ilmakangas, Miss. Pieta Sofia",0
"Ingram, Mr. George",0
"Ingrouille, Mr. Henry",0
"Ings, Mr. William Ernest",0
"Instance, Mr. T.",0
"Isham, Miss. Ann Elizabeth",0
"Ivanoff, Mr. Kanio",0
"Jabbur (zabour), Miss. Hileni",0
"Jabbur (zabour), Miss. Thamine",0
"Jackopson, Mr. John Henry",0
"Jackson, Mr. Cecil",0
"Jacobsohn, Mr. Sidney Samuel",0
"Jago, Mr. Joseph",0
"Jaillet, Mr. Henri Marie",0
"James, Mr. Thomas",0
"Janaway, Mr. William Frank",0
"Janin, Mr. Claude Marie",0
"Jardim, Mr. José Neto",0
"Jarvis, Mr. Denzil John",0
"Jeffery, Mr. William Alfred",0
"Jefferys, Mr. Clifford Thomas",0
"Jefferys, Mr. Ernest Wilfred",0
"Jenkin, Mr. Stephen Curnow",0
"Jenner, Mr. Thomas Henry (Harry)",0
"Jensen, Mr. Charles Valdemar",0
"Jensen, Mr. Hans Peder",0
"Jensen, Mr. Niels Peder (""Rasmus"")",0
"Jensen, Mr. Svend Lauritz",0
"Joas, Mr. N.",0
"Johanson, Mr. Jakob Alfred",0
"Johansson, Mr. Erik",0
"Johansson, Mr. Gustaf Joel",0
"Johansson, Mr. Karl Johan",0
"Johansson, Mr. Nils",0
"Johnson, Mr. August",0
"Johnson, Mr. Malkolm Joackim",0
"Johnson, Mr. William Cahoone Jr.",0
"Johnston, Master. William Andrew",0
"Johnston, Miss. Catherine Nellie",0
"Johnston, Mr. Andrew Emslie",0
"Johnston, Mrs. Eliza",0
"Jones, Mr. Albert",0
"Jones, Mr. Arthur Ernest",0
"Jones, Mr. Charles Cresson",0
"Jones, Mr. H.",0
"Jones, Mr. Victor Reginald",0
"Jonkoff, Mr. Lalio",0
"Joseph (shahin), Mr. Elias",0
"Jouannault, Mr. Georges Jules",0
"Jukes, Mr. Henry James",0
"Julian, Mr. Henry Forbes",0
"Jupe, Mr. Boykett Herbert",0
"Jussila, Miss. Katriina",0
"Jussila, Miss. Mari Aina",0
"Jönsson, Mr. Nils Hilding",0
"Kallio, Mr. Nikolai Erland",0
"Kalvik, Mr. Johannes Halvorsen",0
"Kantor, Mr. Sinai",0
"Karajic, Mr. Milan",0
"Karlsson, Mr. Julius Konrad Eugen",0
"Karlsson, Mr. Nils August",0
"Karnes, Mrs. Claire",0
"Kassem houssein, Mr. Fared",0
"Katavelos, Mr. Vasilios G.",0
"Keane, Mr. Andrew ""Andy""",0
"Keane, Mr. Daniel",0
"Kearl, Mr. Charles Henry",0
"Kearl, Mr. George Edward",0
"Keefe, Mr. Arthur",0
"Keeping, Mr. Edwin Herbert",0
"Kelland, Mr. Thomas",0
"Kelly, Mr. James",0
"Kelly, Mr. William",0
"Kemp, Mr. Thomas Hulman",0
"Kenchenten, Mr. Frederick Charles",0
"Kennell, Mr. Charles",0
"Kent, Mr. Edward Austin",0
"Kenyon, Mr. Frederick R.",0
"Kenzler, Mr. August",0
"Kerley, Mr. William Thomas",0
"Kerr, Mr. Thomas Russell",0
"Ketchley, Mr. Henry",0
"Khalil, Mr. Betros",0
"Khalil, Mrs. Zahie ""Maria""",0
"Kieran, Mr. Edgar Michael",0
"Kieran, Mr. James William",0
"Kiernan, Mr. John",0
"Kiernan, Mr. Philip",0
"Kilgannon, Mr. Thomas",0
"King, Mr. Alfred John Moffett",0
"King, Mr. Ernest Waldron",0
"King, Mr. G.",0
"King, Mr. Thomas Walter",0
"Kingscote, Mr. William Ford",0
"Kink, Miss. Maria",0
"Kink, Mr. Vincenz",0
"Kinsella, Mr. Louis",0
"Kirkaldy, Mr. Thomas Benjamin",0
"Kirkham, Mr. James",0
"Kirkland, Fr. Charles Leonard",0
"Kitching, Mr. Arthur Alfred",0
"Klaber, Mr. Herman",0
"Klasén, Miss. Gertrud Emilia",0
"Klasén, Mr. Klas Albin",0
"Klasén, Mrs. Hulda Kristina Eugenia",0
"Klein, Mr. Herbert",0
"Knight, Mr. Leonard George",0
"Knight, Mr. Robert",0
"Kraeff, Mr. Theodor",0
